super,name,price,unit,brand,sales,with_card
jumbo,Arroz Basmati grano largo y delgado 400 g,$2.559,1 un ($6.398 x kg),Miraflores,,
jumbo,Arroz grado 1 grano largo y ancho 3 kg,$5.339,1 un ($1.780 x kg),Tucapel,,
jumbo,Arroz grado 2 grano largo y ancho graneado 1 kg,$1.549,1 un ($1.549 x kg),Tucapel,,
jumbo,"Arroz Especial Miraflores Sobre 210 g, Preparado, Chaufán",$1.019,1 un ($4.852 x kg),Miraflores,,
jumbo,"Arroz Especial Miraflores Sobre 210 g, Preparado, Champiñones",$1.019,1 un ($4.852 x kg),Miraflores,,
jumbo,"Arroz Especial Tucapel Sobre 210 g, Preparado, Curry Champiñón",$769,1 un ($3.662 x kg),Tucapel,,
jumbo,"Arroz Especial Miraflores Sobre 210 g, Preparado, Primavera",$1.019,1 un ($4.852 x kg),Miraflores,,
jumbo,"Arroz especial Tucapel 1 kg, grado 1, paella, grano corto",$2.669,1 un ($2.669 x kg),Tucapel,,
jumbo,Arroz grado 1 grano largo y ancho 3 kg,$4.899,1 un ($1.633 x kg),Cuisine & Co,,
jumbo,Arroz integral multigrano 400 g,$1.289,1 un ($3.223 x kg),Banquete,,
jumbo,Arroz grado 2 grano largo 3 kg,$4.419,1 un ($1.473 x kg),Tucapel,,
jumbo,Arroz preparación árabe 175 g,$959,1 un ($5.480 x kg),Miraflores,,
jumbo,Arroz integral grado 1 de 1 kg,$1.580,1 un ($1.580 x kg),Iansa Agro,,
jumbo,Arroz grado 2 Premium grano largo y ancho 1 kg,$1.889,1 un ($1.889 x kg),Banquete,,
jumbo,Arroz grado 2 de 1 kg,$1.742,1 un ($1.742 x kg),Iansa Agro,,
jumbo,"Arroz Miraflores 1 kg, grado 2, grano largo laminado",$1.729,1 un ($1.729 x kg),Miraflores,,
jumbo,Arroz especial Miraflores paella 175 g,$1.019,1 un ($5.823 x kg),Miraflores,,
jumbo,"Arroz especial Miraflores 210 g, campesino, listo para preparar",$1.019,1 un ($4.852 x kg),Miraflores,,
jumbo,Arroz Risotto Carnaroli 400 g,$2.059,1 un ($5.148 x kg),Miraflores,,
